"縣市","統計年月","行政區域","售電量度數"
"高雄市",10407,"左營區中北里","229604"
"高雄市",10407,"左營區中南里","247395"
"高雄市",10407,"左營區永清里","281778"
"高雄市",10407,"左營區光輝里","1967"
"高雄市",10407,"左營區合群里","776374"
"高雄市",10407,"左營區自助里","215514"
"高雄市",10407,"左營區尾北里","1641617"
"高雄市",10407,"左營區尾西里","547803"
"高雄市",10407,"左營區尾南里","345516"
"高雄市",10407,"左營區明建里","433565"
"高雄市",10407,"左營區果峰里","631999"
"高雄市",10407,"左營區果惠里","508194"
"高雄市",10407,"左營區果貿里","1208375"
"高雄市",10407,"左營區城南里","227141"
"高雄市",10407,"左營區屏山里","705648"
"高雄市",10407,"左營區海勝里","2166558"
"高雄市",10407,"左營區埤北里","396671"
"高雄市",10407,"左營區埤西里","438741"
"高雄市",10407,"左營區埤東里","408368"
"高雄市",10407,"左營區崇實里","1573957"
"高雄市",10407,"左營區祥和里","125560"
"高雄市",10407,"左營區莒光里","2785"
"高雄市",10407,"左營區頂北里","255613"
"高雄市",10407,"左營區頂西里","442970"
"高雄市",10407,"左營區復興里","5089"
"高雄市",10407,"左營區菜公里","12676618"
"高雄市",10407,"左營區進學里","685096"
"高雄市",10407,"左營區新下里","5936843"
"高雄市",10407,"左營區新上里","14221442"
"高雄市",10407,"左營區新中里","2291550"
"高雄市",10407,"左營區新光里","5813528"
"高雄市",10407,"左營區聖后里","266574"
"高雄市",10407,"左營區聖西里","115904"
"高雄市",10407,"左營區聖南里","195285"
"高雄市",10407,"左營區路東里","232809"
"高雄市",10407,"左營區福山里","14703022"
"高雄市",10407,"左營區廟北里","431522"
"高雄市",10407,"左營區廟東里","338762"
"高雄市",10407,"左營區廍北里","140007"
"高雄市",10407,"左營區廍南里","83679"
"高雄市",10407,"梓官區大舍里","4250"
"高雄市",10407,"梓官區中崙里","413384"
"高雄市",10407,"梓官區赤崁里","3641"
"高雄市",10407,"梓官區典寶里","528"
"高雄市",10407,"梓官區信蚵里","185"
"高雄市",10407,"梓官區梓平里","28315"
"高雄市",10407,"梓官區梓和里","2540"
"高雄市",10407,"梓官區梓信里","724130"
"高雄市",10407,"梓官區梓義里","478247"
"高雄市",10407,"梓官區智蚵里","2269"
"高雄市",10407,"永安區永安里","426100"
"高雄市",10407,"永安區永華里","496344"
"高雄市",10407,"永安區保寧里","980582"
"高雄市",10407,"永安區新港里","334784"
"高雄市",10407,"永安區維新里","807945"
"高雄市",10407,"永安區鹽田里","46108"
"高雄市",10407,"燕巢區安招里","1329665"
"高雄市",10407,"燕巢區尖山里","545149"
"高雄市",10407,"燕巢區西燕里","1446397"
"高雄市",10407,"燕巢區角宿里","76557"
"高雄市",10407,"燕巢區東燕里","779589"
"高雄市",10407,"燕巢區金山里","103335"
"高雄市",10407,"燕巢區南燕里","1524482"
"高雄市",10407,"燕巢區深水里","459"
"高雄市",10407,"燕巢區鳳雄里","48927"
"高雄市",10407,"燕巢區瓊林里","841709"
"高雄市",10407,"鹽埕區中山里","120"
"高雄市",10407,"鹽埕區江西里","4481"
"高雄市",10407,"鹽埕區江南里","31478"
"高雄市",10407,"鹽埕區府北里","0"
"高雄市",10407,"鹽埕區河濱里","1960"
"高雄市",10407,"鹽埕區南端里","0"
"高雄市",10407,"鹽埕區教仁里","16880"
"高雄市",10407,"鹽埕區港都里","0"
"高雄市",10407,"鹽埕區藍橋里","0"
"高雄市",10407,"新興區大明里","18520"
"高雄市",10407,"新興區中東里","27320"
"高雄市",10407,"新興區仁聲里","0"
"高雄市",10407,"新興區文昌里","22402"
"高雄市",10407,"新興區正氣里","280"
