"統計年月","縣市","行政區域","教育程度總計","大學以上","大學","大學以下","大學以上比例","大學比例","大學以下比例"
10401,"高雄市","鹽埕區藍橋里",1370,85,340,945,0.062,0.2482,0.6898
10401,"高雄市","鹽埕區慈愛里",338,17,59,262,0.0503,0.1746,0.7751
10401,"高雄市","鹽埕區博愛里",674,32,127,515,0.0475,0.1884,0.7641
10401,"高雄市","鹽埕區壽星里",1381,80,307,994,0.0579,0.2223,0.7198
10401,"高雄市","鹽埕區中山里",1130,102,368,660,0.0903,0.3257,0.5841
10401,"高雄市","鹽埕區教仁里",2214,166,565,1483,0.075,0.2552,0.6698
10401,"高雄市","鹽埕區新樂里",902,86,269,547,0.0953,0.2982,0.6064
10401,"高雄市","鹽埕區中原里",645,45,170,430,0.0698,0.2636,0.6667
10401,"高雄市","鹽埕區光明里",1442,106,363,973,0.0735,0.2517,0.6748
10401,"高雄市","鹽埕區育仁里",795,59,207,529,0.0742,0.2604,0.6654
10401,"高雄市","鹽埕區河濱里",1756,167,502,1087,0.0951,0.2859,0.619
10401,"高雄市","鹽埕區沙地里",730,46,188,496,0.063,0.2575,0.6795
10401,"高雄市","鹽埕區南端里",1044,68,276,700,0.0651,0.2644,0.6705
10401,"高雄市","鹽埕區港都里",1154,51,274,829,0.0442,0.2374,0.7184
10401,"高雄市","鹽埕區江西里",1152,85,301,766,0.0738,0.2613,0.6649
10401,"高雄市","鹽埕區新豐里",836,61,185,590,0.073,0.2213,0.7057
10401,"高雄市","鹽埕區府北里",1993,80,365,1548,0.0401,0.1831,0.7767
10401,"高雄市","鹽埕區陸橋里",1293,63,292,938,0.0487,0.2258,0.7254
10401,"高雄市","鹽埕區瀨南里",630,36,141,453,0.0571,0.2238,0.719
10401,"高雄市","鹽埕區新化里",639,29,135,475,0.0454,0.2113,0.7433
10401,"高雄市","鹽埕區江南里",663,38,166,459,0.0573,0.2504,0.6923
10401,"高雄市","鼓山區鼓峰里",2082,79,464,1539,0.0379,0.2229,0.7392
10401,"高雄市","鼓山區雄峰里",2109,128,529,1452,0.0607,0.2508,0.6885
10401,"高雄市","鼓山區前峰里",4436,353,1221,2862,0.0796,0.2752,0.6452
10401,"高雄市","鼓山區光榮里",3636,183,793,2660,0.0503,0.2181,0.7316
10401,"高雄市","鼓山區民族里",1370,63,268,1039,0.046,0.1956,0.7584
10401,"高雄市","鼓山區內惟里",1177,56,217,904,0.0476,0.1844,0.7681
10401,"高雄市","鼓山區建國里",2427,151,596,1680,0.0622,0.2456,0.6922
10401,"高雄市","鼓山區忠正里",3983,192,879,2912,0.0482,0.2207,0.7311
10401,"高雄市","鼓山區自強里",763,56,254,453,0.0734,0.3329,0.5937
10401,"高雄市","鼓山區龍井里",1331,62,247,1022,0.0466,0.1856,0.7678
10401,"高雄市","鼓山區正德里",2084,100,441,1543,0.048,0.2116,0.7404
10401,"高雄市","鼓山區平和里",3619,211,877,2531,0.0583,0.2423,0.6994
10401,"高雄市","鼓山區民強里",2815,118,613,2084,0.0419,0.2178,0.7403
10401,"高雄市","鼓山區厚生里",3255,172,640,2443,0.0528,0.1966,0.7505
10401,"高雄市","鼓山區龍子里",14585,1865,4858,7862,0.1279,0.3331,0.539
10401,"高雄市","鼓山區龍水里",18733,3096,6777,8860,0.1653,0.3618,0.473
10401,"高雄市","鼓山區明誠里",16368,1742,5218,9408,0.1064,0.3188,0.5748
10401,"高雄市","鼓山區華豐里",4032,383,1223,2426,0.095,0.3033,0.6017
10401,"高雄市","鼓山區裕興里",3313,264,974,2075,0.0797,0.294,0.6263
10401,"高雄市","鼓山區裕豐里",2712,287,955,1470,0.1058,0.3521,0.542
10401,"高雄市","鼓山區鼓岩里",1318,37,204,1077,0.0281,0.1548,0.8171
10401,"高雄市","鼓山區樹德里",1196,61,242,893,0.051,0.2023,0.7467
10401,"高雄市","鼓山區寶樹里",1871,61,290,1520,0.0326,0.155,0.8124
10401,"高雄市","鼓山區興宗里",1371,80,234,1057,0.0584,0.1707,0.771
10401,"高雄市","鼓山區光化里",1338,36,251,1051,0.0269,0.1876,0.7855
10401,"高雄市","鼓山區山下里",1380,89,330,961,0.0645,0.2391,0.6964
10401,"高雄市","鼓山區河邊里",1545,56,306,1183,0.0362,0.1981,0.7657
10401,"高雄市","鼓山區綠川里",1530,63,274,1193,0.0412,0.1791,0.7797
10401,"高雄市","鼓山區登山里",667,24,132,511,0.036,0.1979,0.7661
10401,"高雄市","鼓山區峰南里",897,28,150,719,0.0312,0.1672,0.8016
10401,"高雄市","鼓山區麗興里",1003,48,201,754,0.0479,0.2004,0.7517
10401,"高雄市","鼓山區新民里",1060,40,202,818,0.0377,0.1906,0.7717
10401,"高雄市","鼓山區延平里",818,49,173,596,0.0599,0.2115,0.7286
10401,"高雄市","鼓山區維生里",1336,74,306,956,0.0554,0.229,0.7156
10401,"高雄市","鼓山區惠安里",1245,71,256,918,0.057,0.2056,0.7373
10401,"高雄市","鼓山區壽山里",1445,46,237,1162,0.0318,0.164,0.8042
10401,"高雄市","鼓山區哨船頭里",1046,55,203,788,0.0526,0.1941,0.7533
10401,"高雄市","鼓山區桃源里",635,64,139,432,0.1008,0.2189,0.6803
10401,"高雄市","左營區進學里",2682,76,387,2219,0.0283,0.1443,0.8274
10401,"高雄市","左營區尾西里",1117,53,235,829,0.0474,0.2104,0.7422
10401,"高雄市","左營區頂北里",569,26,135,408,0.0457,0.2373,0.717
10401,"高雄市","左營區中北里",664,13,114,537,0.0196,0.1717,0.8087
10401,"高雄市","左營區中南里",565,18,90,457,0.0319,0.1593,0.8088
10401,"高雄市","左營區廟東里",868,25,146,697,0.0288,0.1682,0.803
10401,"高雄市","左營區廟北里",946,33,138,775,0.0349,0.1459,0.8192
10401,"高雄市","左營區尾南里",768,19,122,627,0.0247,0.1589,0.8164
10401,"高雄市","左營區尾北里",3488,179,737,2572,0.0513,0.2113,0.7374
10401,"高雄市","左營區屏山里",1694,63,305,1326,0.0372,0.18,0.7828
10401,"高雄市","左營區祥和里",417,12,53,352,0.0288,0.1271,0.8441
10401,"高雄市","左營區永清里",937,39,198,700,0.0416,0.2113,0.7471
10401,"高雄市","左營區莒光里",1818,84,452,1282,0.0462,0.2486,0.7052
10401,"高雄市","左營區光輝里",2530,188,660,1682,0.0743,0.2609,0.6648
10401,"高雄市","左營區合群里",2499,190,687,1622,0.076,0.2749,0.6491
