"統計年月","縣市","行政區域","戶數","總人數","女性","男性","少年人口","青年人口","壯年人口","老年人口","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例"
10407,"高雄市","阿蓮區阿蓮里",1863,5906,2982,2924,1291,1916,2135,564,0.5049,0.4951,0.2186,0.3244,0.3615,0.0955
10407,"高雄市","阿蓮區峯山里",495,1458,694,764,294,421,543,200,0.476,0.524,0.2016,0.2888,0.3724,0.1372
10407,"高雄市","阿蓮區復安里",614,1963,985,978,394,544,768,257,0.5018,0.4982,0.2007,0.2771,0.3912,0.1309
10407,"高雄市","阿蓮區崗山里",294,911,465,446,161,267,330,153,0.5104,0.4896,0.1767,0.2931,0.3622,0.1679
10407,"高雄市","阿蓮區港後里",775,2516,1234,1282,523,790,923,280,0.4905,0.5095,0.2079,0.314,0.3669,0.1113
10407,"高雄市","阿蓮區和蓮里",869,2825,1390,1435,635,855,1037,298,0.492,0.508,0.2248,0.3027,0.3671,0.1055
10407,"高雄市","阿蓮區南蓮里",1157,3549,1769,1780,757,1111,1266,415,0.4985,0.5015,0.2133,0.313,0.3567,0.1169
10407,"高雄市","阿蓮區青旗里",593,1794,896,898,370,523,668,233,0.4994,0.5006,0.2062,0.2915,0.3724,0.1299
10407,"高雄市","阿蓮區清蓮里",1015,3263,1632,1631,708,1010,1168,377,0.5002,0.4998,0.217,0.3095,0.358,0.1155
10407,"高雄市","阿蓮區石安里",513,1529,755,774,267,456,582,224,0.4938,0.5062,0.1746,0.2982,0.3806,0.1465
10407,"高雄市","阿蓮區玉庫里",441,1244,566,678,248,360,468,168,0.455,0.545,0.1994,0.2894,0.3762,0.135
10407,"高雄市","阿蓮區中路里",734,2419,1189,1230,503,712,850,354,0.4915,0.5085,0.2079,0.2943,0.3514,0.1463
10407,"高雄市","大寮區潮寮里",1143,3495,1657,1838,648,1094,1342,411,0.4741,0.5259,0.1854,0.313,0.384,0.1176
10407,"高雄市","大寮區大寮里",2800,7893,3845,4048,1643,2615,2950,685,0.4871,0.5129,0.2082,0.3313,0.3737,0.0868
10407,"高雄市","大寮區光武里",108,214,102,112,25,47,96,46,0.4766,0.5234,0.1168,0.2196,0.4486,0.215
10407,"高雄市","大寮區過溪里",1095,2889,1383,1506,549,991,1101,248,0.4787,0.5213,0.19,0.343,0.3811,0.0858
10407,"高雄市","大寮區後庄里",3201,8730,4411,4319,1827,2903,3243,757,0.5053,0.4947,0.2093,0.3325,0.3715,0.0867
10407,"高雄市","大寮區會結里",695,1808,839,969,312,605,696,195,0.464,0.536,0.1726,0.3346,0.385,0.1079
10407,"高雄市","大寮區會社里",2896,7063,3396,3667,1343,2165,2845,710,0.4808,0.5192,0.1901,0.3065,0.4028,0.1005
10407,"高雄市","大寮區江山里",751,2123,1038,1085,407,689,833,194,0.4889,0.5111,0.1917,0.3245,0.3924,0.0914
10407,"高雄市","大寮區拷潭里",610,1615,768,847,232,524,652,207,0.4755,0.5245,0.1437,0.3245,0.4037,0.1282
10407,"高雄市","大寮區琉球里",1685,4993,2422,2571,963,1708,1889,433,0.4851,0.5149,0.1929,0.3421,0.3783,0.0867
10407,"高雄市","大寮區內坑里",2663,6634,3175,3459,1395,2191,2537,511,0.4786,0.5214,0.2103,0.3303,0.3824,0.077
10407,"高雄市","大寮區前庄里",911,2627,1277,1350,436,848,1057,286,0.4861,0.5139,0.166,0.3228,0.4024,0.1089
10407,"高雄市","大寮區三隆里",1897,5253,2531,2722,953,1665,2056,579,0.4818,0.5182,0.1814,0.317,0.3914,0.1102
10407,"高雄市","大寮區山頂里",3159,8645,4271,4374,1766,2634,3408,837,0.494,0.506,0.2043,0.3047,0.3942,0.0968
10407,"高雄市","大寮區上寮里",951,2738,1296,1442,541,873,1055,269,0.4733,0.5267,0.1976,0.3188,0.3853,0.0982
10407,"高雄市","大寮區翁園里",1455,4411,2108,2303,946,1469,1641,355,0.4779,0.5221,0.2145,0.333,0.372,0.0805
10407,"高雄市","大寮區溪寮里",572,1762,816,946,329,556,676,201,0.4631,0.5369,0.1867,0.3156,0.3837,0.1141
10407,"高雄市","大寮區新厝里",711,1863,873,990,336,599,699,229,0.4686,0.5314,0.1804,0.3215,0.3752,0.1229
10407,"高雄市","大寮區義和里",889,2308,1088,1220,344,712,914,338,0.4714,0.5286,0.149,0.3085,0.396,0.1464
10407,"高雄市","大寮區義仁里",861,2043,922,1121,293,605,855,290,0.4513,0.5487,0.1434,0.2961,0.4185,0.1419
10407,"高雄市","大寮區永芳里",2860,8004,4001,4003,1627,2579,3047,751,0.4999,0.5001,0.2033,0.3222,0.3807,0.0938
10407,"高雄市","大寮區昭明里",1625,4010,1875,2135,608,1338,1599,465,0.4676,0.5324,0.1516,0.3337,0.3988,0.116
10407,"高雄市","大寮區中興里",2996,7459,3748,3711,1161,2258,3038,1002,0.5025,0.4975,0.1557,0.3027,0.4073,0.1343
10407,"高雄市","大寮區中庄里",4394,12387,6120,6267,2468,4272,4595,1052,0.4941,0.5059,0.1992,0.3449,0.371,0.0849
10407,"高雄市","大寮區忠義里",303,632,314,318,90,148,283,111,0.4968,0.5032,0.1424,0.2342,0.4478,0.1756
10407,"高雄市","大社區保安里",1317,3649,1808,1841,708,1198,1387,356,0.4955,0.5045,0.194,0.3283,0.3801,0.0976
10407,"高雄市","大社區保社里",1299,3285,1590,1695,601,1083,1317,284,0.484,0.516,0.183,0.3297,0.4009,0.0865
10407,"高雄市","大社區翠屏里",706,1964,968,996,353,624,766,221,0.4929,0.5071,0.1797,0.3177,0.39,0.1125
10407,"高雄市","大社區大社里",2177,5671,2772,2899,1000,1806,2297,568,0.4888,0.5112,0.1763,0.3185,0.405,0.1002
10407,"高雄市","大社區觀音里",2211,6291,3091,3200,1257,2043,2432,559,0.4913,0.5087,0.1998,0.3247,0.3866,0.0889
10407,"高雄市","大社區嘉誠里",434,1144,551,593,187,291,492,174,0.4816,0.5184,0.1635,0.2544,0.4301,0.1521
10407,"高雄市","大社區三奶里",1164,3113,1511,1602,558,970,1193,392,0.4854,0.5146,0.1792,0.3116,0.3832,0.1259
10407,"高雄市","大社區神農里",2061,5570,2788,2782,1135,1782,2163,490,0.5005,0.4995,0.2038,0.3199,0.3883,0.088
10407,"高雄市","大社區中里里",1338,3829,1861,1968,807,1162,1452,408,0.486,0.514,0.2108,0.3035,0.3792,0.1066
