"統計年月","行政區域","納稅單位_n","綜合所得總額_n","綜合所得平均數_n","綜合所得中位數_n"
10101,"阿蓮區阿蓮里",1333,989555,742,550
10101,"阿蓮區峯山里",283,167446,592,502
10101,"阿蓮區復安里",437,275740,631,493
10101,"阿蓮區崗山里",185,116776,631,471
10101,"阿蓮區港後里",544,388202,714,509
10101,"阿蓮區和蓮里",553,403485,730,540
10101,"阿蓮區南蓮里",805,549106,682,526
10101,"阿蓮區青旗里",364,245800,675,497
10101,"阿蓮區清蓮里",717,510297,712,532
10101,"阿蓮區石安里",298,197283,662,508
10101,"阿蓮區玉庫里",243,163788,674,516
10101,"阿蓮區中路里",533,405079,760,550
10101,"大寮區潮寮里",667,450829,676,540
10101,"大寮區大寮里",1677,1131797,675,518
10101,"大寮區光武里",24,13901,579,496
10101,"大寮區過溪里",633,470034,743,552
10101,"大寮區後庄里",1860,1361202,732,570
10101,"大寮區會結里",323,243380,753,589
10101,"大寮區會社里",1377,1053339,765,566
10101,"大寮區江山里",458,351532,768,568
10101,"大寮區拷潭里",350,231043,660,541
10101,"大寮區琉球里",1031,748985,726,567
10101,"大寮區內坑里",1246,923973,742,582
10101,"大寮區前庄里",604,459670,761,583
10101,"大寮區三隆里",1132,804604,711,558
10101,"大寮區山頂里",1763,1273616,722,583
10101,"大寮區上寮里",573,400479,699,573
10101,"大寮區翁園里",965,696762,722,567
10101,"大寮區溪寮里",380,282065,742,584
10101,"大寮區新厝里",335,238383,712,540
10101,"大寮區義和里",521,356496,684,562
10101,"大寮區義仁里",454,315647,695,520
10101,"大寮區永芳里",1806,1357986,752,558
10101,"大寮區昭明里",912,628307,689,551
10101,"大寮區中興里",1654,1205137,729,578
10101,"大寮區中庄里",2776,1895081,683,550
10101,"大寮區忠義里",100,69384,694,533
10101,"大社區保安里",912,688343,755,575
10101,"大社區保社里",817,686046,840,589
10101,"大社區翠屏里",450,338506,752,608
10101,"大社區大社里",1395,1124598,806,591
10101,"大社區觀音里",1447,1105838,764,587
10101,"大社區嘉誠里",190,120022,632,452
10101,"大社區三奶里",705,482971,685,517
10101,"大社區神農里",1120,836360,747,572
10101,"大社區中里里",787,585895,744,567
10101,"大樹區大坑里",291,203355,699,536
10101,"大樹區大樹里",562,369062,657,521
10101,"大樹區姑山里",211,142158,674,568
10101,"大樹區和山里",186,111258,598,485
10101,"大樹區井腳里",331,236598,715,587
10101,"大樹區九曲里",1145,771355,674,540
10101,"大樹區久堂里",1030,752338,730,556
10101,"大樹區龍目里",357,245525,688,545
10101,"大樹區三和里",218,219598,1007,575
10101,"大樹區檨腳里",873,606320,695,542
10101,"大樹區水安里",606,454326,750,534
10101,"大樹區水寮里",568,409782,721,559
10101,"大樹區統嶺里",121,75141,621,483
10101,"大樹區溪埔里",396,315280,796,665
10101,"大樹區小坪里",309,257102,832,620
10101,"大樹區興山里",217,123621,570,478
10101,"大樹區興田里",413,241675,585,467
10101,"大樹區竹寮里",742,524235,707,548
10101,"鳳山區保安里",1682,1548772,921,724
