"統計年月","縣市","行政區域","出生數","出生數.男","出生數.女","死亡數","死亡數.男","死亡數.女","結婚對數","離婚對數"
10401,"高雄市","阿蓮區阿蓮里",12,7,5,10,8,2,10,3
10401,"高雄市","阿蓮區峯山里",1,1,0,3,2,1,0,0
10401,"高雄市","阿蓮區復安里",3,0,3,4,0,4,1,0
10401,"高雄市","阿蓮區崗山里",1,0,1,0,0,0,2,0
10401,"高雄市","阿蓮區港後里",0,0,0,1,0,1,7,1
10401,"高雄市","阿蓮區和蓮里",3,3,0,2,1,1,1,0
10401,"高雄市","阿蓮區南蓮里",5,2,3,7,6,1,6,1
10401,"高雄市","阿蓮區青旗里",0,0,0,3,1,2,1,0
10401,"高雄市","阿蓮區清蓮里",3,2,1,6,5,1,1,1
10401,"高雄市","阿蓮區石安里",0,0,0,0,0,0,4,1
10401,"高雄市","阿蓮區玉庫里",3,2,1,2,1,1,3,0
10401,"高雄市","阿蓮區中路里",3,2,1,6,3,3,0,0
10401,"高雄市","大寮區潮寮里",6,4,2,7,2,5,2,2
10401,"高雄市","大寮區大寮里",2,1,1,9,7,2,8,0
10401,"高雄市","大寮區光武里",0,0,0,0,0,0,1,0
10401,"高雄市","大寮區過溪里",4,2,2,2,1,1,6,0
10401,"高雄市","大寮區後庄里",10,2,8,9,4,5,18,3
10401,"高雄市","大寮區會結里",0,0,0,3,2,1,2,1
10401,"高雄市","大寮區會社里",9,4,5,9,8,1,13,5
10401,"高雄市","大寮區江山里",3,2,1,4,2,2,5,0
10401,"高雄市","大寮區拷潭里",0,0,0,0,0,0,1,1
10401,"高雄市","大寮區琉球里",7,3,4,7,4,3,8,2
10401,"高雄市","大寮區內坑里",18,9,9,7,5,2,4,6
10401,"高雄市","大寮區前庄里",3,2,1,5,3,2,2,0
10401,"高雄市","大寮區三隆里",12,7,5,11,5,6,6,4
10401,"高雄市","大寮區山頂里",18,6,12,16,8,8,8,2
10401,"高雄市","大寮區上寮里",3,0,3,3,2,1,1,0
10401,"高雄市","大寮區翁園里",2,0,2,6,4,2,7,0
10401,"高雄市","大寮區溪寮里",2,1,1,3,3,0,1,0
10401,"高雄市","大寮區新厝里",2,1,1,2,2,0,5,2
10401,"高雄市","大寮區義和里",1,0,1,3,2,1,4,1
10401,"高雄市","大寮區義仁里",0,0,0,4,3,1,1,2
10401,"高雄市","大寮區永芳里",12,5,7,10,7,3,11,2
10401,"高雄市","大寮區昭明里",2,2,0,4,4,0,7,2
10401,"高雄市","大寮區中興里",5,4,1,7,6,1,5,4
10401,"高雄市","大寮區中庄里",25,14,11,8,4,4,11,4
10401,"高雄市","大寮區忠義里",2,1,1,2,2,0,0,0
10401,"高雄市","大社區保安里",7,3,4,2,2,0,3,0
10401,"高雄市","大社區保社里",3,1,2,6,5,1,2,1
10401,"高雄市","大社區翠屏里",2,2,0,2,2,0,4,1
10401,"高雄市","大社區大社里",12,5,7,4,2,2,5,2
10401,"高雄市","大社區觀音里",7,4,3,3,3,0,7,0
10401,"高雄市","大社區嘉誠里",2,0,2,6,4,2,0,1
10401,"高雄市","大社區三奶里",4,1,3,6,5,1,4,1
10401,"高雄市","大社區神農里",6,5,1,5,2,3,7,3
10401,"高雄市","大社區中里里",1,1,0,5,5,0,6,3
10401,"高雄市","大樹區大坑里",2,1,1,2,2,0,2,0
10401,"高雄市","大樹區大樹里",1,1,0,2,0,2,3,1
10401,"高雄市","大樹區姑山里",3,1,2,4,4,0,2,0
10401,"高雄市","大樹區和山里",1,0,1,3,2,1,0,0
10401,"高雄市","大樹區井腳里",1,1,0,9,4,5,0,0
10401,"高雄市","大樹區九曲里",9,4,5,3,2,1,4,1
10401,"高雄市","大樹區久堂里",3,2,1,6,5,1,3,2
10401,"高雄市","大樹區龍目里",1,1,0,0,0,0,3,0
10401,"高雄市","大樹區三和里",1,0,1,2,1,1,0,0
10401,"高雄市","大樹區檨腳里",5,4,1,7,6,1,1,1
10401,"高雄市","大樹區水安里",3,3,0,4,3,1,2,1
10401,"高雄市","大樹區水寮里",3,1,2,4,2,2,1,0
10401,"高雄市","大樹區統嶺里",0,0,0,1,1,0,1,0
10401,"高雄市","大樹區溪埔里",3,1,2,0,0,0,4,0
10401,"高雄市","大樹區小坪里",3,2,1,3,3,0,1,1
10401,"高雄市","大樹區興山里",1,1,0,3,2,1,1,0
10401,"高雄市","大樹區興田里",1,0,1,6,2,4,4,1
10401,"高雄市","大樹區竹寮里",4,2,2,0,0,0,3,0
10401,"高雄市","鳳山二保安里",11,4,7,3,3,0,9,0
10401,"高雄市","鳳山二大德里",2,1,1,1,1,0,15,3
10401,"高雄市","鳳山二二甲里",12,7,5,1,0,1,6,2
10401,"高雄市","鳳山二福誠里",4,0,4,7,4,3,6,5
10401,"高雄市","鳳山二福祥里",3,2,1,3,2,1,5,1
10401,"高雄市","鳳山二福興里",14,9,5,4,3,1,9,4
10401,"高雄市","鳳山二富甲里",4,3,1,8,5,3,2,0
10401,"高雄市","鳳山二富榮里",7,5,2,1,1,0,4,2
10401,"高雄市","鳳山二國富里",2,2,0,2,0,2,3,2
10401,"高雄市","鳳山二國光里",3,1,2,2,0,2,3,0
10401,"高雄市","鳳山二國隆里",2,1,1,1,0,1,2,2
10401,"高雄市","鳳山二國泰里",4,2,2,3,2,1,8,0
10401,"高雄市","鳳山二過埤里",40,20,20,7,6,1,27,6
10401,"高雄市","鳳山二海洋里",5,5,0,0,0,0,5,2
10401,"高雄市","鳳山二老爺里",10,4,6,7,4,3,9,4
10401,"高雄市","鳳山二龍成里",5,3,2,2,2,0,4,2
10401,"高雄市","鳳山二南成里",8,1,7,7,4,3,8,1
10401,"高雄市","鳳山二南和里",5,1,4,2,1,1,6,0
10401,"高雄市","鳳山二善美里",11,4,7,7,5,2,8,2
10401,"高雄市","鳳山二天興里",6,3,3,2,1,1,4,1
10401,"高雄市","鳳山二五福里",4,2,2,3,2,1,3,1
10401,"高雄市","鳳山二武漢里",7,1,6,3,1,2,8,1
10401,"高雄市","鳳山二武慶里",4,1,3,2,1,1,3,0
10401,"高雄市","鳳山二新富里",3,1,2,4,4,0,6,3
10401,"高雄市","鳳山二新甲里",2,0,2,6,5,1,3,1
10401,"高雄市","鳳山二新樂里",11,6,5,2,2,0,6,2
10401,"高雄市","鳳山二新強里",7,3,4,3,1,2,6,1
10401,"高雄市","鳳山二新泰里",4,2,2,0,0,0,2,2
10401,"高雄市","鳳山二新武里",3,0,3,3,1,2,2,1
10401,"高雄市","鳳山二一甲里",4,4,0,3,3,0,2,4
10401,"高雄市","鳳山二鎮南里",6,4,2,5,1,4,7,7
10401,"高雄市","鳳山二正義里",8,6,2,10,6,4,9,1
10401,"高雄市","鳳山二中崙里",6,1,5,7,3,4,3,2
10401,"高雄市","鳳山二中民里",6,1,5,3,1,2,7,1
10401,"高雄市","鳳山二中榮里",8,5,3,0,0,0,7,3
10401,"高雄市","鳳山一北門里",4,3,1,11,7,4,4,1
10401,"高雄市","鳳山一曹公里",2,1,1,6,3,3,4,1
10401,"高雄市","鳳山一成功里",2,2,0,4,3,1,1,0
10401,"高雄市","鳳山一誠德里",2,2,0,2,1,1,2,1
10401,"高雄市","鳳山一誠信里",3,2,1,1,0,1,6,1
10401,"高雄市","鳳山一誠義里",8,5,3,2,2,0,1,1
10401,"高雄市","鳳山一誠智里",4,1,3,2,1,1,1,3
10401,"高雄市","鳳山一東門里",7,3,4,7,2,5,4,1
10401,"高雄市","鳳山一鳳東里",7,5,2,8,7,1,11,4
10401,"高雄市","鳳山一鳳崗里",1,1,0,3,2,1,1,1
10401,"高雄市","鳳山一光明里",2,2,0,1,1,0,2,0
10401,"高雄市","鳳山一海光里",4,0,4,7,3,4,4,2
10401,"高雄市","鳳山一和德里",2,1,1,4,3,1,4,0
10401,"高雄市","鳳山一和興里",9,6,3,2,2,0,1,4
10401,"高雄市","鳳山一南興里",1,1,0,1,1,0,1,1
10401,"高雄市","鳳山一埤頂里",7,3,4,8,6,2,9,2
10401,"高雄市","鳳山一瑞興里",6,3,3,1,1,0,4,1
10401,"高雄市","鳳山一瑞竹里",5,3,2,9,3,6,11,3
10401,"高雄市","鳳山一三民里",1,0,1,1,1,0,2,1
10401,"高雄市","鳳山一生明里",1,0,1,1,0,1,3,1
10401,"高雄市","鳳山一文德里",13,6,7,5,2,3,13,4
10401,"高雄市","鳳山一文福里",8,5,3,6,4,2,17,4
10401,"高雄市","鳳山一文衡里",12,3,9,2,0,2,9,0
10401,"高雄市","鳳山一文華里",8,3,5,13,8,5,11,0
10401,"高雄市","鳳山一文山里",5,2,3,6,5,1,14,5
10401,"高雄市","鳳山一文英里",3,1,2,5,4,1,4,0
10401,"高雄市","鳳山一武松里",3,1,2,0,0,0,2,2
10401,"高雄市","鳳山一縣口里",0,0,0,0,0,0,2,0
10401,"高雄市","鳳山一縣衙里",0,0,0,0,0,0,2,0
10401,"高雄市","鳳山一協和里",7,4,3,9,5,4,2,2
10401,"高雄市","鳳山一新興里",1,1,0,7,6,1,2,2
10401,"高雄市","鳳山一興仁里",2,2,0,8,6,2,6,0
10401,"高雄市","鳳山一興中里",1,1,0,4,1,3,1,0
10401,"高雄市","鳳山一鎮北里",19,11,8,9,6,3,14,3
10401,"高雄市","鳳山一鎮東里",3,2,1,3,1,2,3,2
10401,"高雄市","鳳山一鎮西里",6,5,1,10,6,4,4,3
10401,"高雄市","鳳山一中和里",1,1,0,2,1,1,6,2
10401,"高雄市","鳳山一中正里",7,2,5,13,5,8,3,1
10401,"高雄市","鳳山一忠誠里",6,4,2,4,2,2,6,0
10401,"高雄市","鳳山一忠孝里",4,1,3,5,4,1,4,1
10401,"高雄市","鳳山一忠義里",5,5,0,2,1,1,2,1
10401,"高雄市","岡山區白米里",3,1,2,1,0,1,1,0
10401,"高雄市","岡山區本洲里",3,0,3,4,3,1,1,0
10401,"高雄市","岡山區碧紅里",8,4,4,3,3,0,9,2
10401,"高雄市","岡山區程香里",2,2,0,0,0,0,7,4
10401,"高雄市","岡山區大遼里",3,1,2,1,0,1,0,3
10401,"高雄市","岡山區大莊里",2,0,2,2,1,1,1,1
10401,"高雄市","岡山區福興里",0,0,0,6,3,3,0,0
10401,"高雄市","岡山區岡山里",14,11,3,5,5,0,6,3
10401,"高雄市","岡山區和平里",0,0,0,2,1,1,0,0
10401,"高雄市","岡山區後紅里",2,1,1,2,2,0,3,2
10401,"高雄市","岡山區後協里",8,8,0,4,2,2,8,0
10401,"高雄市","岡山區華崗里",1,1,0,3,3,0,3,2
10401,"高雄市","岡山區嘉峰里",1,1,0,3,1,2,3,1
10401,"高雄市","岡山區嘉興里",5,1,4,10,7,3,2,0
10401,"高雄市","岡山區劉厝里",0,0,0,3,2,1,1,0
10401,"高雄市","岡山區平安里",3,2,1,3,1,2,0,0
10401,"高雄市","岡山區前峰里",0,0,0,5,2,3,3,2
10401,"高雄市","岡山區仁壽里",7,2,5,2,0,2,5,0
10401,"高雄市","岡山區仁義里",4,1,3,5,4,1,3,4
10401,"高雄市","岡山區三和里",0,0,0,1,0,1,0,1
10401,"高雄市","岡山區石潭里",5,2,3,3,2,1,3,0
10401,"高雄市","岡山區壽峰里",7,4,3,0,0,0,3,2
10401,"高雄市","岡山區壽天里",4,3,1,7,3,4,3,1
10401,"高雄市","岡山區台上里",13,6,7,5,3,2,13,1
10401,"高雄市","岡山區潭底里",1,1,0,4,2,2,0,0
10401,"高雄市","岡山區灣裡里",4,3,1,0,0,0,2,2
10401,"高雄市","岡山區維仁里",2,0,2,0,0,0,2,1
10401,"高雄市","岡山區為隨里",0,0,0,1,1,0,1,1
10401,"高雄市","岡山區協和里",6,4,2,6,4,2,3,3
10401,"高雄市","岡山區協榮里",4,3,1,2,2,0,3,0
10401,"高雄市","岡山區信義里",5,3,2,5,2,3,4,0
10401,"高雄市","岡山區忠孝里",6,1,5,6,6,0,2,1
10401,"高雄市","岡山區竹圍里",12,10,2,3,2,1,11,3
10401,"高雄市","鼓山區寶樹里",1,1,0,7,4,3,0,1
10401,"高雄市","鼓山區登山里",0,0,0,0,0,0,0,1
10401,"高雄市","鼓山區峰南里",1,1,0,2,1,1,1,0
10401,"高雄市","鼓山區鼓峰里",3,1,2,5,1,4,1,1
10401,"高雄市","鼓山區鼓岩里",0,0,0,1,0,1,0,0
10401,"高雄市","鼓山區光化里",2,1,1,2,0,2,3,1
10401,"高雄市","鼓山區光榮里",3,3,0,8,2,6,3,0
10401,"高雄市","鼓山區河邊里",2,1,1,2,2,0,2,0
10401,"高雄市","鼓山區厚生里",7,4,3,5,1,4,4,1
10401,"高雄市","鼓山區華豐里",2,2,0,5,3,2,3,0
10401,"高雄市","鼓山區惠安里",0,0,0,1,1,0,1,0
10401,"高雄市","鼓山區建國里",4,2,2,4,3,1,2,1
10401,"高雄市","鼓山區麗興里",0,0,0,1,0,1,3,2
10401,"高雄市","鼓山區龍井里",1,1,0,0,0,0,2,1
10401,"高雄市","鼓山區龍水里",47,28,19,16,11,5,39,5
10401,"高雄市","鼓山區龍子里",42,20,22,5,1,4,23,5
10401,"高雄市","鼓山區綠川里",2,2,0,2,2,0,5,0
10401,"高雄市","鼓山區民強里",4,2,2,4,4,0,2,1
10401,"高雄市","鼓山區民族里",2,2,0,4,4,0,3,0
10401,"高雄市","鼓山區明誠里",30,14,16,14,9,5,20,9
10401,"高雄市","鼓山區內惟里",1,1,0,3,1,2,2,0
10401,"高雄市","鼓山區平和里",8,7,1,3,2,1,4,1
10401,"高雄市","鼓山區前峰里",8,3,5,6,5,1,4,1
10401,"高雄市","鼓山區山下里",1,1,0,2,1,1,0,0
10401,"高雄市","鼓山區哨船頭里",1,0,1,1,1,0,1,0
10401,"高雄市","鼓山區壽山里",3,1,2,5,3,2,1,1
10401,"高雄市","鼓山區樹德里",1,1,0,3,2,1,1,0
10401,"高雄市","鼓山區桃源里",1,0,1,1,1,0,3,0
10401,"高雄市","鼓山區維生里",1,0,1,3,1,2,2,1
10401,"高雄市","鼓山區新民里",2,1,1,3,0,3,0,1
10401,"高雄市","鼓山區興宗里",3,2,1,4,4,0,2,0
10401,"高雄市","鼓山區雄峰里",2,0,2,5,2,3,2,1
10401,"高雄市","鼓山區延平里",2,0,2,1,0,1,0,0
10401,"高雄市","鼓山區裕豐里",3,1,2,7,2,5,5,0
10401,"高雄市","鼓山區裕興里",6,5,1,4,3,1,4,0
10401,"高雄市","鼓山區正德里",5,5,0,7,5,2,4,1
10401,"高雄市","鼓山區忠正里",4,2,2,8,5,3,8,0
10401,"高雄市","鼓山區自強里",1,1,0,1,1,0,1,1
10401,"高雄市","湖內區大湖里",2,2,0,3,3,0,5,1
10401,"高雄市","湖內區公舘里",7,1,6,1,1,0,0,1
10401,"高雄市","湖內區海埔里",5,4,1,7,3,4,0,0
10401,"高雄市","湖內區海山里",0,0,0,5,3,2,1,0
10401,"高雄市","湖內區湖東里",8,4,4,2,1,1,4,0
10401,"高雄市","湖內區湖內里",6,2,4,4,2,2,8,3
10401,"高雄市","湖內區劉家里",0,0,0,1,0,1,0,0
10401,"高雄市","湖內區太爺里",1,1,0,2,2,0,1,0
10401,"高雄市","湖內區田尾里",1,1,0,1,0,1,3,0
10401,"高雄市","湖內區文賢里",3,2,1,3,1,2,3,2
10401,"高雄市","湖內區葉厝里",5,2,3,5,3,2,1,0
10401,"高雄市","湖內區逸賢里",0,0,0,1,0,1,1,1
10401,"高雄市","湖內區中賢里",0,0,0,4,3,1,1,1
10401,"高雄市","湖內區忠興里",1,1,0,3,3,0,0,0
10401,"高雄市","茄萣區白雲里",1,1,0,5,2,3,5,1
10401,"高雄市","茄萣區保定里",2,0,2,2,1,1,6,1
10401,"高雄市","茄萣區大定里",6,2,4,2,0,2,1,0
10401,"高雄市","茄萣區福德里",0,0,0,2,2,0,1,0
10401,"高雄市","茄萣區光定里",1,0,1,4,3,1,0,0
10401,"高雄市","茄萣區和協里",2,1,1,0,0,0,2,1
10401,"高雄市","茄萣區吉定里",2,1,1,2,2,0,1,0
10401,"高雄市","茄萣區嘉安里",3,2,1,2,1,1,3,0
10401,"高雄市","茄萣區嘉賜里",4,2,2,2,1,1,2,0
10401,"高雄市","茄萣區嘉定里",2,1,1,2,0,2,0,0
10401,"高雄市","茄萣區嘉福里",2,1,1,4,4,0,0,0
10401,"高雄市","茄萣區嘉樂里",2,1,1,3,2,1,3,1
10401,"高雄市","茄萣區嘉泰里",0,0,0,1,1,0,3,0
10401,"高雄市","茄萣區崎漏里",5,3,2,6,6,0,6,1
10401,"高雄市","茄萣區萬福里",1,1,0,6,4,2,0,0
10401,"高雄市","甲仙區寶隆里",0,0,0,4,2,2,0,0
10401,"高雄市","甲仙區大田里",1,1,0,4,2,2,1,0
10401,"高雄市","甲仙區東安里",1,0,1,2,1,1,0,0
10401,"高雄市","甲仙區關山里",2,1,1,1,1,0,0,1
10401,"高雄市","甲仙區和安里",0,0,0,2,2,0,0,1
10401,"高雄市","甲仙區西安里",0,0,0,1,0,1,3,0
10401,"高雄市","甲仙區小林里",0,0,0,2,1,1,0,0
10401,"高雄市","林園區北汕里",2,0,2,2,1,1,2,2
10401,"高雄市","林園區頂厝里",3,3,0,3,3,0,6,3
10401,"高雄市","林園區東林里",3,0,3,6,1,5,8,3
10401,"高雄市","林園區東汕里",0,0,0,2,0,2,2,0
10401,"高雄市","林園區鳳芸里",2,1,1,2,1,1,0,1
10401,"高雄市","林園區港埔里",0,0,0,3,2,1,1,1
10401,"高雄市","林園區港嘴里",6,3,3,2,1,1,4,1
10401,"高雄市","林園區龔厝里",4,2,2,3,2,1,2,0
10401,"高雄市","林園區廣應里",4,1,3,2,2,0,6,1
10401,"高雄市","林園區林家里",3,1,2,1,1,0,0,2
10401,"高雄市","林園區林內里",2,2,0,1,0,1,1,1
10401,"高雄市","林園區林園里",6,4,2,3,1,2,8,0
10401,"高雄市","林園區仁愛里",7,5,2,3,0,3,5,0
10401,"高雄市","林園區潭頭里",5,2,3,7,5,2,1,0
10401,"高雄市","林園區王公里",6,2,4,4,1,3,6,1
10401,"高雄市","林園區文賢里",0,0,0,4,2,2,2,1
10401,"高雄市","林園區五福里",5,3,2,3,3,0,1,2
10401,"高雄市","林園區溪州里",5,5,0,7,4,3,6,1
10401,"高雄市","林園區西汕里",3,0,3,4,3,1,1,0
10401,"高雄市","林園區西溪里",5,2,3,6,4,2,1,2
10401,"高雄市","林園區中厝里",7,5,2,8,6,2,4,0
10401,"高雄市","林園區中門里",5,1,4,2,2,0,6,1
10401,"高雄市","林園區中汕里",6,2,4,4,2,2,3,0
10401,"高雄市","林園區中芸里",3,1,2,2,2,0,1,0
10401,"高雄市","苓雅區安祥里",2,2,0,3,1,2,2,0
10401,"高雄市","苓雅區博仁里",1,1,0,1,1,0,0,0
10401,"高雄市","苓雅區朝陽里",2,2,0,4,2,2,3,0
10401,"高雄市","苓雅區城北里",1,0,1,0,0,0,2,0
10401,"高雄市","苓雅區城東里",2,1,1,5,1,4,3,0
10401,"高雄市","苓雅區城西里",1,0,1,1,1,0,1,0
10401,"高雄市","苓雅區福地里",5,2,3,0,0,0,3,1
10401,"高雄市","苓雅區福東里",2,0,2,4,2,2,4,0
10401,"高雄市","苓雅區福海里",0,0,0,4,2,2,0,0
10401,"高雄市","苓雅區福居里",3,1,2,4,3,1,5,0
10401,"高雄市","苓雅區福康里",2,1,1,1,1,0,1,1
10401,"高雄市","苓雅區福隆里",2,1,1,3,2,1,0,1
10401,"高雄市","苓雅區福南里",2,1,1,9,4,5,4,0
10401,"高雄市","苓雅區福人里",4,1,3,2,2,0,6,0
10401,"高雄市","苓雅區福壽里",1,0,1,2,1,1,0,0
10401,"高雄市","苓雅區福西里",1,1,0,5,3,2,2,0
10401,"高雄市","苓雅區福祥里",2,1,1,0,0,0,2,0
10401,"高雄市","苓雅區鼓中里",2,0,2,1,0,1,2,0
10401,"高雄市","苓雅區光華里",1,0,1,2,2,0,1,0
10401,"高雄市","苓雅區廣澤里",1,1,0,4,2,2,4,2
10401,"高雄市","苓雅區和煦里",4,1,3,1,1,0,3,0
10401,"高雄市","苓雅區華堂里",0,0,0,6,2,4,2,1
10401,"高雄市","苓雅區建軍里",2,2,0,2,2,0,0,0
10401,"高雄市","苓雅區凱旋里",4,2,2,6,3,3,2,1
10401,"高雄市","苓雅區林安里",3,2,1,1,1,0,1,0
10401,"高雄市","苓雅區林德里",1,0,1,3,2,1,2,0
10401,"高雄市","苓雅區林富里",2,1,1,1,0,1,2,0
10401,"高雄市","苓雅區林貴里",2,2,0,2,1,1,1,1
10401,"高雄市","苓雅區林華里",3,2,1,4,2,2,4,1
