"有偶人數","有偶比例","行政區域","統計年月","縣市"
296,58.5,"鹽埕區中山里",10407,"高雄市"
155,54.39,"鹽埕區中原里",10407,"高雄市"
352,45.42,"鹽埕區光明里",10407,"高雄市"
293,56.35,"鹽埕區江西里",10407,"高雄市"
163,57.6,"鹽埕區江南里",10407,"高雄市"
153,48.73,"鹽埕區沙地里",10407,"高雄市"
177,45.85,"鹽埕區育仁里",10407,"高雄市"
448,39.89,"鹽埕區府北里",10407,"高雄市"
447,57.53,"鹽埕區河濱里",10407,"高雄市"
249,51.77,"鹽埕區南端里",10407,"高雄市"
561,56.33,"鹽埕區教仁里",10407,"高雄市"
311,53.81,"鹽埕區陸橋里",10407,"高雄市"
140,43.61,"鹽埕區博愛里",10407,"高雄市"
289,51.52,"鹽埕區港都里",10407,"高雄市"
80,47.9,"鹽埕區慈愛里",10407,"高雄市"
138,49.29,"鹽埕區新化里",10407,"高雄市"
253,62.94,"鹽埕區新樂里",10407,"高雄市"
209,47.07,"鹽埕區新豐里",10407,"高雄市"
340,48.5,"鹽埕區壽星里",10407,"高雄市"
362,57.92,"鹽埕區藍橋里",10407,"高雄市"
154,49.68,"鹽埕區瀨南里",10407,"高雄市"
826,59.13,"旗津區上竹里",10407,"高雄市"
507,53.76,"旗津區中洲里",10407,"高雄市"
339,54.41,"旗津區中華里",10407,"高雄市"
655,61.56,"旗津區中興里",10407,"高雄市"
620,51.71,"旗津區北汕里",10407,"高雄市"
243,50.1,"旗津區永安里",10407,"高雄市"
270,56.49,"旗津區安順里",10407,"高雄市"
530,57.99,"旗津區南汕里",10407,"高雄市"
352,50.79,"旗津區振興里",10407,"高雄市"
633,51.76,"旗津區復興里",10407,"高雄市"
463,50.22,"旗津區慈愛里",10407,"高雄市"
305,50.66,"旗津區實踐里",10407,"高雄市"
243,48.21,"旗津區旗下里",10407,"高雄市"
373,52.09,"前鎮區仁愛里",10407,"高雄市"
178,52.82,"前鎮區平昌里",10407,"高雄市"
674,39.23,"前鎮區平等里",10407,"高雄市"
1262,66.32,"前鎮區民權里",10407,"高雄市"
931,60.53,"前鎮區竹中里",10407,"高雄市"
732,59.22,"前鎮區竹內里",10407,"高雄市"
599,57.65,"前鎮區竹北里",10407,"高雄市"
1178,64.37,"前鎮區竹西里",10407,"高雄市"
575,52.08,"前鎮區竹東里",10407,"高雄市"
2146,61.9,"前鎮區竹南里",10407,"高雄市"
998,57.75,"前鎮區西山里",10407,"高雄市"
584,56.1,"前鎮區西甲里",10407,"高雄市"
834,63.57,"前鎮區良和里",10407,"高雄市"
809,57.7,"前鎮區忠孝里",10407,"高雄市"
1254,48.62,"前鎮區忠純里",10407,"高雄市"
558,52.84,"前鎮區忠誠里",10407,"高雄市"
1553,60.88,"前鎮區明正里",10407,"高雄市"
663,57.3,"前鎮區明孝里",10407,"高雄市"
665,59.38,"前鎮區明義里",10407,"高雄市"
319,54.34,"前鎮區明道里",10407,"高雄市"
427,52.65,"前鎮區明禮里",10407,"高雄市"
372,52.84,"前鎮區信義里",10407,"高雄市"
574,49.27,"前鎮區信德里",10407,"高雄市"
320,47.9,"前鎮區前鎮里",10407,"高雄市"
401,58.97,"前鎮區建隆里",10407,"高雄市"
669,55.29,"前鎮區振興里",10407,"高雄市"
2530,60.07,"前鎮區草衙里",10407,"高雄市"
744,50.47,"前鎮區盛興里",10407,"高雄市"
810,52.06,"前鎮區盛豐里",10407,"高雄市"
742,56.68,"前鎮區復國里",10407,"高雄市"
661,62.12,"前鎮區瑞文里",10407,"高雄市"
769,57.01,"前鎮區瑞北里",10407,"高雄市"
1075,65.87,"前鎮區瑞平里",10407,"高雄市"
502,56.66,"前鎮區瑞竹里",10407,"高雄市"
703,59.32,"前鎮區瑞西里",10407,"高雄市"
518,61.59,"前鎮區瑞和里",10407,"高雄市"
825,57.09,"前鎮區瑞昌里",10407,"高雄市"
602,61.49,"前鎮區瑞東里",10407,"高雄市"
1211,61.19,"前鎮區瑞南里",10407,"高雄市"
695,58.26,"前鎮區瑞崗里",10407,"高雄市"
1355,63.79,"前鎮區瑞祥里",10407,"高雄市"
1269,64.48,"前鎮區瑞華里",10407,"高雄市"
926,59.4,"前鎮區瑞隆里",10407,"高雄市"
680,55.74,"前鎮區瑞誠里",10407,"高雄市"
657,60.05,"前鎮區瑞興里",10407,"高雄市"
764,61.66,"前鎮區瑞豐里",10407,"高雄市"
469,48.05,"前鎮區德昌里",10407,"高雄市"
781,51.08,"前鎮區興中里",10407,"高雄市"
212,50.72,"前鎮區興仁里",10407,"高雄市"
