YM,CODEBASE,kW,COUNT,CITY,AREA,CODE1,CODE2,VILLCODE
10507,A6301-0003-00,39114,5,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10506,A6301-0003-00,46358,17,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10507,A6301-0005-00,58903,7,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10506,A6301-0006-00,107970,23,臺北市,中山區,A6301-01-001,A6301-01,A6301-002-00
10507,A6301-0007-00,34000,1,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10506,A6301-0007-00,41866,8,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10507,A6301-0010-00,32403,11,臺北市,松山區,A6301-01-002,A6301-01,A6301-002-00
10506,A6301-0010-00,100988,20,臺北市,松山區,A6301-01-002,A6301-01,A6301-002-00
10507,A6301-0012-00,103155,14,臺北市,松山區,A6301-02-001,A6301-02,A6301-010-00
10506,A6301-0012-00,5048,42,臺北市,松山區,A6301-02-001,A6301-02,A6301-010-00
10507,A6301-0013-00,539,1,臺北市,松山區,A6301-01-003,A6301-01,A6301-002-00
10506,A6301-0013-00,120368,149,臺北市,松山區,A6301-01-003,A6301-01,A6301-002-00
10507,A6301-0014-00,105378,115,臺北市,松山區,A6301-04-001,A6301-04,A6301-017-00
10506,A6301-0015-00,111865,147,臺北市,松山區,A6301-01-004,A6301-01,A6301-002-00
10507,A6301-0016-00,134690,189,臺北市,松山區,A6301-03-001,A6301-03,A6301-002-00
10507,A6301-0017-00,938,1,臺北市,松山區,A6301-01-005,A6301-01,A6301-002-00
10506,A6301-0017-00,115827,150,臺北市,松山區,A6301-01-005,A6301-01,A6301-002-00
10507,A6301-0018-00,82760,86,臺北市,松山區,A6301-04-002,A6301-04,A6301-017-00
10506,A6301-0018-00,204,1,臺北市,松山區,A6301-04-002,A6301-04,A6301-017-00
10507,A6301-0019-00,14,1,臺北市,松山區,A6301-01-006,A6301-01,A6301-002-00
10506,A6301-0019-00,66735,83,臺北市,松山區,A6301-01-006,A6301-01,A6301-002-00
10507,A6301-0020-00,55427,56,臺北市,松山區,A6301-03-002,A6301-03,A6301-002-00
10507,A6301-0021-00,40,1,臺北市,松山區,A6301-01-006,A6301-01,A6301-002-00
10506,A6301-0021-00,68066,60,臺北市,松山區,A6301-01-006,A6301-01,A6301-002-00
10507,A6301-0022-00,81294,82,臺北市,松山區,A6301-04-002,A6301-04,A6301-017-00
10507,A6301-0023-00,22863,41,臺北市,松山區,A6301-03-005,A6301-03,A6301-002-00
10507,A6301-0024-00,98165,132,臺北市,松山區,A6301-04-001,A6301-04,A6301-017-00
10506,A6301-0024-00,775,1,臺北市,松山區,A6301-04-001,A6301-04,A6301-017-00
10507,A6301-0025-00,59214,80,臺北市,松山區,A6301-03-002,A6301-03,A6301-002-00
10506,A6301-0026-00,59282,83,臺北市,松山區,A6301-01-007,A6301-01,A6301-002-00
10507,A6301-0027-00,82317,98,臺北市,松山區,A6301-04-003,A6301-04,A6301-017-00
10506,A6301-0027-00,2028,3,臺北市,松山區,A6301-04-003,A6301-04,A6301-017-00
10507,A6301-0028-00,88740,96,臺北市,松山區,A6301-03-003,A6301-03,A6301-002-00
10507,A6301-0029-00,26981,42,臺北市,松山區,A6301-03-005,A6301-03,A6301-002-00
10507,A6301-0030-00,30803,29,臺北市,松山區,A6301-04-003,A6301-04,A6301-017-00
10506,A6301-0031-00,59942,66,臺北市,松山區,A6301-01-007,A6301-01,A6301-002-00
10507,A6301-0032-00,136961,149,臺北市,松山區,A6301-04-004,A6301-04,A6301-017-00
10507,A6301-0033-00,67263,75,臺北市,松山區,A6301-03-004,A6301-03,A6301-002-00
10506,A6301-0034-00,13200,2,臺北市,松山區,A6301-01-001,A6301-01,A6301-002-00
10507,A6301-0035-00,34339,2,臺北市,松山區,A6301-04-005,A6301-04,A6301-017-00
10507,A6301-0036-00,9806,1,臺北市,松山區,A6301-01-008,A6301-01,A6301-002-00
10506,A6301-0036-00,75787,97,臺北市,松山區,A6301-01-008,A6301-01,A6301-002-00
10507,A6301-0037-00,64671,63,臺北市,松山區,A6301-03-006,A6301-03,A6301-002-00
10507,A6301-0038-00,21236,24,臺北市,松山區,A6301-04-006,A6301-04,A6301-017-00
10507,A6301-0039-00,154475,156,臺北市,松山區,A6301-04-006,A6301-04,A6301-017-00
10507,A6301-0040-00,49470,49,臺北市,松山區,A6301-06-001,A6301-06,A6301-017-00
10507,A6301-0041-00,46130,49,臺北市,松山區,A6301-03-006,A6301-03,A6301-002-00
10507,A6301-0042-00,198742,141,臺北市,松山區,A6301-06-002,A6301-06,A6301-017-00
10506,A6301-0042-00,402,1,臺北市,松山區,A6301-06-002,A6301-06,A6301-017-00
10507,A6301-0043-00,238,2,臺北市,松山區,A6301-03-005,A6301-03,A6301-002-00
10507,A6301-0044-00,669,1,臺北市,松山區,A6301-03-007,A6301-03,A6301-002-00
10506,A6301-0044-00,89448,92,臺北市,松山區,A6301-03-007,A6301-03,A6301-002-00
10507,A6301-0045-00,41791,45,臺北市,松山區,A6301-06-003,A6301-06,A6301-017-00
10507,A6301-0046-00,230885,249,臺北市,松山區,A6301-04-007,A6301-04,A6301-017-00
10506,A6301-0046-00,3340,1,臺北市,松山區,A6301-04-007,A6301-04,A6301-017-00
10507,A6301-0047-00,190039,235,臺北市,松山區,A6301-06-003,A6301-06,A6301-017-00
10506,A6301-0047-00,546,1,臺北市,松山區,A6301-06-003,A6301-06,A6301-017-00
10507,A6301-0048-00,135303,102,臺北市,松山區,A6301-03-008,A6301-03,A6301-002-00
10506,A6301-0048-00,156,1,臺北市,松山區,A6301-03-008,A6301-03,A6301-002-00
10507,A6301-0049-00,13861,13,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10506,A6301-0049-00,50759,72,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10507,A6301-0050-00,16643,3,臺北市,松山區,A6301-08-001,A6301-08,A6301-005-00
10506,A6301-0050-00,102691,126,臺北市,松山區,A6301-08-001,A6301-08,A6301-005-00
10507,A6301-0051-00,77138,73,臺北市,松山區,A6301-06-004,A6301-06,A6301-017-00
10506,A6301-0051-00,2009,4,臺北市,松山區,A6301-06-004,A6301-06,A6301-017-00
10507,A6301-0052-00,116839,137,臺北市,松山區,A6301-06-005,A6301-06,A6301-017-00
10507,A6301-0053-00,93997,86,臺北市,松山區,A6301-06-006,A6301-06,A6301-017-00
10507,A6301-0054-00,12484,12,臺北市,松山區,A6301-06-006,A6301-06,A6301-017-00
10507,A6301-0056-00,136883,111,臺北市,松山區,A6301-07-001,A6301-07,A6301-005-00
10507,A6301-0057-00,47495,59,臺北市,松山區,A6301-06-006,A6301-06,A6301-017-00
10506,A6301-0057-00,518,1,臺北市,松山區,A6301-06-006,A6301-06,A6301-017-00
10507,A6301-0058-00,52560,2,臺北市,松山區,A6301-02-001,A6301-02,A6301-010-00
10507,A6301-0059-00,111748,122,臺北市,松山區,A6301-07-002,A6301-07,A6301-006-00
10507,A6301-0060-00,151888,103,臺北市,松山區,A6301-07-003,A6301-07,A6301-006-00
10506,A6301-0060-00,612,1,臺北市,松山區,A6301-07-003,A6301-07,A6301-006-00
10507,A6301-0061-00,79371,86,臺北市,松山區,A6301-04-008,A6301-04,A6301-017-00
10507,A6301-0062-00,10290,2,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10506,A6301-0062-00,50096,59,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10507,A6301-0063-00,405455,143,臺北市,松山區,A6301-06-007,A6301-06,A6301-017-00
10506,A6301-0063-00,11456,3,臺北市,松山區,A6301-06-007,A6301-06,A6301-017-00
10507,A6301-0064-00,8579,2,臺北市,松山區,A6301-08-003,A6301-08,A6301-005-00
10506,A6301-0064-00,75433,77,臺北市,松山區,A6301-08-003,A6301-08,A6301-005-00
10507,A6301-0065-00,93160,93,臺北市,松山區,A6301-07-005,A6301-07,A6301-005-00
10507,A6301-0066-00,78031,94,臺北市,松山區,A6301-07-004,A6301-07,A6301-006-00
10507,A6301-0067-00,262828,286,臺北市,松山區,A6301-06-008,A6301-06,A6301-017-00
10507,A6301-0068-00,168942,89,臺北市,松山區,A6301-06-009,A6301-06,A6301-017-00
10507,A6301-0069-00,101811,83,臺北市,松山區,A6301-04-008,A6301-04,A6301-017-00
10506,A6301-0069-00,1888,1,臺北市,松山區,A6301-04-008,A6301-04,A6301-017-00
10507,A6301-0070-00,134727,145,臺北市,松山區,A6301-07-006,A6301-07,A6301-006-00
10507,A6301-0071-00,40,1,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10506,A6301-0071-00,41088,56,臺北市,松山區,A6301-08-002,A6301-08,A6301-005-00
10507,A6301-0072-00,91103,88,臺北市,松山區,A6301-06-009,A6301-06,A6301-017-00
10507,A6301-0073-00,100692,96,臺北市,松山區,A6301-07-005,A6301-07,A6301-005-00
10507,A6301-0074-00,114562,132,臺北市,松山區,A6301-07-007,A6301-07,A6301-006-00
10506,A6301-0076-00,43827,43,臺北市,松山區,A6301-08-003,A6301-08,A6301-005-00
10507,A6301-0079-00,77206,71,臺北市,松山區,A6301-07-009,A6301-07,A6301-005-00
10507,A6301-0080-00,187872,115,臺北市,松山區,A6301-13-001,A6301-13,A6301-016-00
10506,A6301-0080-00,1759,1,臺北市,松山區,A6301-13-001,A6301-13,A6301-016-00
10507,A6301-0081-00,181619,88,臺北市,松山區,A6301-13-001,A6301-13,A6301-016-00
10507,A6301-0082-00,93832,73,臺北市,松山區,A6301-07-008,A6301-07,A6301-006-00
10507,A6301-0083-00,184053,119,臺北市,松山區,A6301-13-005,A6301-13,A6301-016-00
10507,A6301-0084-00,9326,4,臺北市,松山區,A6301-08-004,A6301-08,A6301-005-00
10506,A6301-0084-00,66810,63,臺北市,松山區,A6301-08-004,A6301-08,A6301-005-00
10507,A6301-0085-00,311717,212,臺北市,松山區,A6301-13-002,A6301-13,A6301-016-00
10506,A6301-0085-00,6727,3,臺北市,松山區,A6301-13-002,A6301-13,A6301-016-00
10507,A6301-0086-00,177475,201,臺北市,松山區,A6301-13-003,A6301-13,A6301-016-00
10506,A6301-0086-00,344,2,臺北市,松山區,A6301-13-003,A6301-13,A6301-016-00
10507,A6301-0087-00,127594,107,臺北市,松山區,A6301-13-004,A6301-13,A6301-016-00
10507,A6301-0088-00,70258,73,臺北市,松山區,A6301-09-001,A6301-09,A6301-004-00
10506,A6301-0088-00,158,1,臺北市,松山區,A6301-09-001,A6301-09,A6301-004-00
10507,A6301-0089-00,136497,96,臺北市,松山區,A6301-07-009,A6301-07,A6301-005-00
10506,A6301-0089-00,1174,1,臺北市,松山區,A6301-07-009,A6301-07,A6301-005-00
10507,A6301-0090-00,85295,86,臺北市,松山區,A6301-13-005,A6301-13,A6301-016-00
10506,A6301-0090-00,1185,2,臺北市,松山區,A6301-13-005,A6301-13,A6301-016-00
10507,A6301-0091-00,81382,103,臺北市,松山區,A6301-09-002,A6301-09,A6301-004-00
10507,A6301-0092-00,4085,2,臺北市,松山區,A6301-16-001,A6301-16,A6301-005-00
10506,A6301-0092-00,105487,91,臺北市,松山區,A6301-16-001,A6301-16,A6301-005-00
10507,A6301-0093-00,564646,125,臺北市,松山區,A6301-13-004,A6301-13,A6301-016-00
10506,A6301-0093-00,71540,18,臺北市,松山區,A6301-13-004,A6301-13,A6301-016-00
10506,A6301-0094-00,53611,71,臺北市,松山區,A6301-16-002,A6301-16,A6301-005-00
10507,A6301-0095-00,112720,111,臺北市,松山區,A6301-11-001,A6301-11,A6301-006-00
10507,A6301-0096-00,107105,102,臺北市,松山區,A6301-09-003,A6301-09,A6301-003-00
10507,A6301-0097-00,854412,119,臺北市,松山區,A6301-13-007,A6301-13,A6301-016-00
10506,A6301-0097-00,16166,27,臺北市,松山區,A6301-13-007,A6301-13,A6301-016-00
10507,A6301-0098-00,170790,93,臺北市,松山區,A6301-08-004,A6301-08,A6301-005-00
10506,A6301-0098-00,7801,1,臺北市,松山區,A6301-08-004,A6301-08,A6301-005-00
10507,A6301-0099-00,115640,75,臺北市,松山區,A6301-15-001,A6301-15,A6301-016-00
10507,A6301-0100-00,290714,162,臺北市,松山區,A6301-11-002,A6301-11,A6301-006-00
10506,A6301-0100-00,746,1,臺北市,松山區,A6301-11-002,A6301-11,A6301-006-00
10507,A6301-0101-00,110823,95,臺北市,松山區,A6301-10-001,A6301-10,A6301-004-00
