"行政區域","綜合所得中位數_log","平均教育程度","有偶比例","女男比","扶老比_log","每戶平均用電度數","cluster"
"阿蓮區阿蓮里",0.358136146678939,0.342397638101158,0.376582270003142,0.466787439613527,0.534917949039633,0.61646180507006,"5"
"阿蓮區峯山里",0.278903701777171,0.200217543314428,0.390942190713093,0.298611111111111,0.677099543092979,0.00261002571892226,"1"
"阿蓮區復安里",0.263207044317611,0.199829073110092,0.297425527515677,0.447765700483092,0.656814691890119,0.404126043904361,"3"
"阿蓮區崗山里",0.223597762429716,0.274493046383342,0.412473118663531,0.501056763285024,0.752464106129993,0.615495756589679,"3"
"阿蓮區港後里",0.290918866586389,0.320410224535778,0.345270670691335,0.38058574879227,0.591763841455561,0.367085711380305,"3"
"阿蓮區和蓮里",0.342215467354586,0.300442856032942,0.314840611136474,0.389341787439614,0.578531872731371,0.380538360175075,"3"
"阿蓮區南蓮里",0.319424030274689,0.369124388159428,0.408513528934737,0.427838164251208,0.615792538910878,0.453847881260778,"5"
"阿蓮區青旗里",0.270218417251495,0.268743687359179,0.309609201809504,0.433272946859903,0.656163717081682,0.310593060551749,"2"
"阿蓮區清蓮里",0.32926518695701,0.33967834667081,0.317807247235555,0.438103864734299,0.612366920879226,0.409329147123252,"3"
"阿蓮區石安里",0.289212567749193,0.234713697459405,0.246803185422777,0.399909420289855,0.691352985931429,0.30018261705923,"2"
"阿蓮區玉庫里",0.302769916689347,0.228808950353508,0.422600331947604,0.187650966183575,0.668975560482683,0.332443551838246,"1"
"阿蓮區中路里",0.358136146678939,0.244736228731256,0.350764451996546,0.386473429951691,0.708681213748704,0.51379373170122,"3"
"大寮區潮寮里",0.342215467354586,0.230673607334317,0.324531012005189,0.288194444444444,0.603376976854355,0.461923707592378,"3"
"大寮區大寮里",0.306126410929686,0.256390334861316,0.403530528383212,0.360960144927536,0.491091455708962,0.57644706011957,"5"
"大寮區光武里",0.268470878535697,0.0732654805376428,0.234103368236893,0.301932367149758,0.833420651866102,0.116146144492041,"8"
"大寮區過溪里",0.361285524652479,0.279931629244037,0.475426939711576,0.313556763285024,0.477851276330356,0.447644833123599,"5"
"大寮區後庄里",0.389127036740394,0.340766063242949,0.448227188806474,0.469202898550725,0.49118649863945,0.418040531665629,"5"
"大寮區會結里",0.417577214359466,0.208297723564603,0.390679799900316,0.234148550724638,0.56099875037729,0.429573794663853,"3"
"大寮區會社里",0.383016781353584,0.295936601662652,0.355206241235163,0.32518115942029,0.541503129987877,0.372564223157199,"5"
"大寮區江山里",0.386077287804042,0.29096418304716,0.413789900934415,0.371376811594203,0.503528341878484,0.415697440395232,"5"
"大寮區拷潭里",0.343820745664638,0.204257633439515,0.411581045125076,0.295893719806763,0.618248318004376,0.61478393139361,"3"
"大寮區琉球里",0.384548384009164,0.311320021754331,0.37276732669407,0.349486714975845,0.482980270525082,0.484532631677069,"5"
"大寮區內坑里",0.407203788057923,0.22981897288478,0.388061665681542,0.312952898550725,0.444528732797215,0.390338667785249,"5"
"大寮區前庄里",0.408693320920033,0.35001165410613,0.406836082608757,0.355223429951691,0.561526760859602,0.445704262053361,"5"
"大寮區三隆里",0.370665644973659,0.296713542071323,0.400115952260598,0.330917874396135,0.574435402421457,0.414214471236754,"5"
"大寮區山頂里",0.408693320920033,0.313495454898609,0.365717980224872,0.401117149758454,0.533045276771948,0.375623376678403,"5"
"大寮區上寮里",0.393681654438473,0.250407893714552,0.379308649198025,0.283816425120773,0.535883396879402,0.424565595962934,"5"
"大寮區翁園里",0.384548384009164,0.30316214746329,0.404379510964363,0.309027777777778,0.464240328138377,0.455500332608797,"5"
"大寮區溪寮里",0.410180301025346,0.238909175666226,0.346527862550547,0.229317632850242,0.591123715898559,0.431743166689971,"3"
"大寮區新厝里",0.342215467354586,0.198275192292751,0.406326450604007,0.258454106280193,0.619239212681356,0.360480143042968,"1"
"大寮區義和里",0.376863190460175,0.266179784010566,0.463826492097726,0.273550724637681,0.677867041276605,0.416739755860906,"1"
"大寮區義仁里",0.309469970670742,0.194545878331132,0.422726472527082,0.16893115942029,0.661676782614277,0.345010656192667,"1"
"大寮區永芳里",0.370665644973659,0.323906456374796,0.428080920640331,0.436292270531401,0.519792764772366,0.464177820713266,"5"
"大寮區昭明里",0.359712264603868,0.234636003418538,0.455245157950871,0.253170289855072,0.580485029325084,0.451246329651333,"5"
"大寮區中興里",0.401219952760811,0.336725973117862,0.345192717429861,0.452143719806763,0.644110997082568,0.427434082020906,"3"
"大寮區中庄里",0.358136146678939,0.342941496387227,0.425480686461393,0.401721014492754,0.477736984933245,0.444064521869558,"5"
"大寮區忠義里",0.330894582138373,0.188641131225235,0.430037175037589,0.417723429951691,0.75399934996878,0.33180799362747,"1"
"大社區保安里",0.39670483756355,0.360189573459716,0.446165754474969,0.410024154589372,0.531167025020248,0.415947426624805,"5"
"大社區保社里",0.417577214359466,0.346981586512314,0.558175989999876,0.343297101449275,0.476734901398078,0.398694139729591,"5"
