"縣市","行政區域","售電量度數","統計年月","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得平均數","綜合所得中位數","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","每戶平均用電度數","每人平均用電度數"
"高雄市","阿蓮區阿蓮里",2741650,10407,5125,0.0472,0.2127,0.7401,"1333","989555","742","550",1863,5906,0.5049,0.4951,0.2186,0.3244,0.3615,0.0955,16,6,10,5,2,1209,64.79,1471.63,464.21
"高雄市","阿蓮區峯山里",11315,10407,1297,0.0216,0.1596,0.8188,"283","167446","592","502",495,1458,0.476,0.524,0.2016,0.2888,0.3724,0.1372,0,0,0,0,1,309,62.55,22.86,7.76
"高雄市","阿蓮區復安里",595883,10407,1753,0.0217,0.1592,0.8192,"437","275740","631","493",614,1963,0.5018,0.4982,0.2007,0.2771,0.3912,0.1309,3,2,1,1,1,381,61.95,970.49,303.56
"高雄市","阿蓮區崗山里",431990,10407,813,0.0418,0.1771,0.7811,"185","116776","631","471",294,911,0.5104,0.4896,0.1767,0.2931,0.3622,0.1679,1,0,1,0,0,203,68.81,1469.35,474.19
"高雄市","阿蓮區港後里",684378,10407,2226,0.0391,0.2107,0.7502,"544","388202","714","509",775,2516,0.4905,0.5095,0.2079,0.314,0.3669,0.1113,1,1,0,2,1,507,65.25,883.07,272.01
"高雄市","阿蓮區和蓮里",794975,10407,2459,0.0338,0.2058,0.7605,"553","403485","730","540",869,2825,0.492,0.508,0.2248,0.3027,0.3671,0.1055,2,1,1,1,3,541,62.62,914.82,281.41
"高雄市","阿蓮區南蓮里",1258626,10407,3122,0.0516,0.2233,0.7252,"805","549106","682","526",1157,3549,0.4985,0.5015,0.2133,0.313,0.3567,0.1169,0,0,0,1,1,753,65.14,1087.84,354.64
"高雄市","阿蓮區青旗里",444593,10407,1588,0.034,0.1851,0.7809,"364","245800","675","497",593,1794,0.4994,0.5006,0.2062,0.2915,0.3724,0.1299,0,0,0,0,0,350,59.12,749.74,247.82
"高雄市","阿蓮區清蓮里",997508,10407,2828,0.0417,0.2192,0.739,"717","510297","712","532",1015,3263,0.5002,0.4998,0.217,0.3095,0.358,0.1155,3,2,1,4,2,633,62.3,982.77,305.7
"高雄市","阿蓮區石安里",372013,10407,1368,0.0278,0.1725,0.7997,"298","197283","662","508",513,1529,0.4938,0.5062,0.1746,0.2982,0.3806,0.1465,1,1,0,1,0,291,56.73,725.17,243.3
