"YM","CODEBASE","kW"
10507,"A6301-0003-00",39114
10506,"A6301-0003-00",46358
10507,"A6301-0005-00",58903
10506,"A6301-0006-00",107970
10507,"A6301-0007-00",34000
10506,"A6301-0007-00",41866
10507,"A6301-0010-00",32403
10506,"A6301-0010-00",100988
10507,"A6301-0012-00",103155
10506,"A6301-0012-00",5048
10507,"A6301-0013-00",539
10506,"A6301-0013-00",120368
10507,"A6301-0014-00",105378
10506,"A6301-0015-00",111865
10507,"A6301-0016-00",134690
10507,"A6301-0017-00",938
10506,"A6301-0017-00",115827
10507,"A6301-0018-00",82760
10506,"A6301-0018-00",204
10507,"A6301-0019-00",14
10506,"A6301-0019-00",66735
10507,"A6301-0020-00",55427
10507,"A6301-0021-00",40
10506,"A6301-0021-00",68066
10507,"A6301-0022-00",81294
10507,"A6301-0023-00",22863
10507,"A6301-0024-00",98165
10506,"A6301-0024-00",775
10507,"A6301-0025-00",59214
10506,"A6301-0026-00",59282
10507,"A6301-0027-00",82317
10506,"A6301-0027-00",2028
10507,"A6301-0028-00",88740
10507,"A6301-0029-00",26981
10507,"A6301-0030-00",30803
10506,"A6301-0031-00",59942
10507,"A6301-0032-00",136961
10507,"A6301-0033-00",67263
10506,"A6301-0034-00",13200
10507,"A6301-0035-00",34339
10507,"A6301-0036-00",9806
10506,"A6301-0036-00",75787
10507,"A6301-0037-00",64671
10507,"A6301-0038-00",21236
10507,"A6301-0039-00",154475
10507,"A6301-0040-00",49470
10507,"A6301-0041-00",46130
10507,"A6301-0042-00",198742
10506,"A6301-0042-00",402
10507,"A6301-0043-00",238
10507,"A6301-0044-00",669
10506,"A6301-0044-00",89448
10507,"A6301-0045-00",41791
10507,"A6301-0046-00",230885
10506,"A6301-0046-00",3340
10507,"A6301-0047-00",190039
10506,"A6301-0047-00",546
10507,"A6301-0048-00",135303
10506,"A6301-0048-00",156
10507,"A6301-0049-00",13861
10506,"A6301-0049-00",50759
10507,"A6301-0050-00",16643
10506,"A6301-0050-00",102691
10507,"A6301-0051-00",77138
10506,"A6301-0051-00",2009
10507,"A6301-0052-00",116839
10507,"A6301-0053-00",93997
10507,"A6301-0054-00",12484
10507,"A6301-0056-00",136883
10507,"A6301-0057-00",47495
10506,"A6301-0057-00",518
10507,"A6301-0058-00",52560
10507,"A6301-0059-00",111748
10507,"A6301-0060-00",151888
10506,"A6301-0060-00",612
10507,"A6301-0061-00",79371
10507,"A6301-0062-00",10290
10506,"A6301-0062-00",50096
10507,"A6301-0063-00",405455
10506,"A6301-0063-00",11456
10507,"A6301-0064-00",8579
10506,"A6301-0064-00",75433
10507,"A6301-0065-00",93160
10507,"A6301-0066-00",78031
10507,"A6301-0067-00",262828
10507,"A6301-0068-00",168942
10507,"A6301-0069-00",101811
10506,"A6301-0069-00",1888
10507,"A6301-0070-00",134727
10507,"A6301-0071-00",40
10506,"A6301-0071-00",41088
10507,"A6301-0072-00",91103
10507,"A6301-0073-00",100692
10507,"A6301-0074-00",114562
10506,"A6301-0076-00",43827
10507,"A6301-0079-00",77206
10507,"A6301-0080-00",187872
10506,"A6301-0080-00",1759
10507,"A6301-0081-00",181619
10507,"A6301-0082-00",93832
10507,"A6301-0083-00",184053
10507,"A6301-0084-00",9326
10506,"A6301-0084-00",66810
10507,"A6301-0085-00",311717
10506,"A6301-0085-00",6727
10507,"A6301-0086-00",177475
10506,"A6301-0086-00",344
10507,"A6301-0087-00",127594
10507,"A6301-0088-00",70258
10506,"A6301-0088-00",158
10507,"A6301-0089-00",136497
10506,"A6301-0089-00",1174
10507,"A6301-0090-00",85295
10506,"A6301-0090-00",1185
10507,"A6301-0091-00",81382
10507,"A6301-0092-00",4085
10506,"A6301-0092-00",105487
10507,"A6301-0093-00",564646
10506,"A6301-0093-00",71540
10506,"A6301-0094-00",53611
10507,"A6301-0095-00",112720
10507,"A6301-0096-00",107105
10507,"A6301-0097-00",854412
10506,"A6301-0097-00",16166
10507,"A6301-0098-00",170790
10506,"A6301-0098-00",7801
10507,"A6301-0099-00",115640
10507,"A6301-0100-00",290714
10506,"A6301-0100-00",746
