"縣市名稱","行政區域"
"高雄市","鹽埕區藍橋里"
"高雄市","鹽埕區慈愛里"
"高雄市","鹽埕區博愛里"
"高雄市","鹽埕區壽星里"
"高雄市","鹽埕區中山里"
"高雄市","鹽埕區教仁里"
"高雄市","鹽埕區新樂里"
"高雄市","鹽埕區中原里"
"高雄市","鹽埕區光明里"
"高雄市","鹽埕區育仁里"
"高雄市","鹽埕區河濱里"
"高雄市","鹽埕區沙地里"
"高雄市","鹽埕區南端里"
"高雄市","鹽埕區港都里"
"高雄市","鹽埕區江西里"
"高雄市","鹽埕區新豐里"
"高雄市","鹽埕區府北里"
"高雄市","鹽埕區陸橋里"
"高雄市","鹽埕區瀨南里"
"高雄市","鹽埕區新化里"
"高雄市","鹽埕區江南里"
"高雄市","鼓山區鼓峰里"
"高雄市","鼓山區雄峰里"
"高雄市","鼓山區前峰里"
"高雄市","鼓山區光榮里"
"高雄市","鼓山區民族里"
"高雄市","鼓山區內惟里"
"高雄市","鼓山區建國里"
"高雄市","鼓山區忠正里"
"高雄市","鼓山區自強里"
"高雄市","鼓山區龍井里"
"高雄市","鼓山區正德里"
"高雄市","鼓山區平和里"
"高雄市","鼓山區民強里"
"高雄市","鼓山區厚生里"
"高雄市","鼓山區龍子里"
"高雄市","鼓山區龍水里"
"高雄市","鼓山區明誠里"
"高雄市","鼓山區華豐里"
"高雄市","鼓山區裕興里"
"高雄市","鼓山區裕豐里"
"高雄市","鼓山區鼓岩里"
"高雄市","鼓山區樹德里"
"高雄市","鼓山區寶樹里"
"高雄市","鼓山區興宗里"
"高雄市","鼓山區光化里"
"高雄市","鼓山區山下里"
"高雄市","鼓山區河邊里"
"高雄市","鼓山區綠川里"
"高雄市","鼓山區登山里"
"高雄市","鼓山區峰南里"
"高雄市","鼓山區麗興里"
"高雄市","鼓山區新民里"
"高雄市","鼓山區延平里"
"高雄市","鼓山區維生里"
"高雄市","鼓山區惠安里"
"高雄市","鼓山區壽山里"
"高雄市","鼓山區哨船頭里"
"高雄市","鼓山區桃源里"
"高雄市","左營區進學里"
"高雄市","左營區尾西里"
"高雄市","左營區頂北里"
"高雄市","左營區中北里"
"高雄市","左營區中南里"
"高雄市","左營區廟東里"
"高雄市","左營區廟北里"
"高雄市","左營區尾南里"
"高雄市","左營區尾北里"
"高雄市","左營區屏山里"
"高雄市","左營區祥和里"
"高雄市","左營區永清里"
"高雄市","左營區莒光里"
"高雄市","左營區光輝里"
"高雄市","左營區合群里"
"高雄市","左營區明建里"
"高雄市","左營區頂西里"
"高雄市","左營區聖后里"
"高雄市","左營區聖西里"
"高雄市","左營區聖南里"
"高雄市","左營區城南里"
"高雄市","左營區路東里"
"高雄市","左營區廍北里"
"高雄市","左營區廍南里"
"高雄市","左營區埤西里"
"高雄市","左營區埤北里"
"高雄市","左營區埤東里"
"高雄市","左營區海勝里"
"高雄市","左營區崇實里"
"高雄市","左營區自助里"
"高雄市","左營區果貿里"
"高雄市","左營區果惠里"
"高雄市","左營區果峰里"
"高雄市","左營區新下里"
"高雄市","左營區新上里"
"高雄市","左營區新中里"
"高雄市","左營區新光里"
"高雄市","左營區菜公里"
"高雄市","左營區福山里"
"高雄市","楠梓區清豐里"
"高雄市","楠梓區東寧里"
"高雄市","楠梓區五常里"
"高雄市","楠梓區享平里"
"高雄市","楠梓區中陽里"
"高雄市","楠梓區惠楠里"
"高雄市","楠梓區惠民里"
"高雄市","楠梓區惠豐里"
"高雄市","楠梓區錦屏里"
"高雄市","楠梓區玉屏里"
"高雄市","楠梓區金田里"
"高雄市","楠梓區稔田里"
"高雄市","楠梓區瑞屏里"
"高雄市","楠梓區翠屏里"
"高雄市","楠梓區宏南里"
"高雄市","楠梓區宏毅里"
"高雄市","楠梓區宏榮里"
"高雄市","楠梓區廣昌里"
"高雄市","楠梓區久昌里"
"高雄市","楠梓區大昌里"
"高雄市","楠梓區福昌里"
"高雄市","楠梓區盛昌里"
"高雄市","楠梓區泰昌里"
"高雄市","楠梓區興昌里"
"高雄市","楠梓區建昌里"
"高雄市","楠梓區宏昌里"
"高雄市","楠梓區和昌里"
"高雄市","楠梓區慶昌里"
"高雄市","楠梓區隆昌里"
"高雄市","楠梓區秀昌里"
"高雄市","楠梓區裕昌里"
"高雄市","楠梓區國昌里"
"高雄市","楠梓區加昌里"
"高雄市","楠梓區仁昌里"
"高雄市","楠梓區藍田里"
"高雄市","楠梓區中興里"
"高雄市","楠梓區中和里"
"高雄市","三民區鼎金里"
"高雄市","三民區鼎盛里"
"高雄市","三民區鼎強里"
"高雄市","三民區鼎力里"
"高雄市","三民區鼎西里"
"高雄市","三民區鼎中里"
"高雄市","三民區鼎泰里"
"高雄市","三民區本館里"
"高雄市","三民區本和里"
"高雄市","三民區本文里"
"高雄市","三民區本武里"
"高雄市","三民區本元里"
"高雄市","三民區本安里"
"高雄市","三民區本上里"
"高雄市","三民區本揚里"
"高雄市","三民區寶獅里"
"高雄市","三民區寶德里"
"高雄市","三民區寶泰里"
"高雄市","三民區寶興里"
"高雄市","三民區寶中里"
"高雄市","三民區寶華里"
"高雄市","三民區寶國里"
"高雄市","三民區寶民里"
"高雄市","三民區寶慶里"
"高雄市","三民區寶業里"
"高雄市","三民區寶盛里"
"高雄市","三民區寶安里"
"高雄市","三民區寶龍里"
"高雄市","三民區寶珠里"
"高雄市","三民區寶玉里"
"高雄市","三民區灣子里"
"高雄市","三民區灣愛里"
"高雄市","三民區灣中里"
"高雄市","三民區灣華里"
"高雄市","三民區灣勝里"
"高雄市","三民區灣利里"
"高雄市","三民區灣復里"
"高雄市","三民區正興里"
"高雄市","三民區正順里"
"高雄市","三民區灣興里"
"高雄市","三民區灣成里"
"高雄市","三民區安康里"
"高雄市","三民區安寧里"
"高雄市","三民區安吉里"
"高雄市","三民區安發里"
"高雄市","三民區安東里"
"高雄市","三民區安和里"
"高雄市","三民區達德里"
"高雄市","三民區達明里"
"高雄市","三民區達仁里"
"高雄市","三民區達勇里"
"高雄市","三民區同德里"
"高雄市","三民區德智里"
"高雄市","三民區德仁里"
"高雄市","三民區安生里"
"高雄市","三民區德東里"
"高雄市","三民區德行里"
"高雄市","三民區精華里"
"高雄市","三民區民享里"
"高雄市","三民區安宜里"
"高雄市","三民區安泰里"
"高雄市","三民區安邦里"
"高雄市","三民區十全里"
"高雄市","三民區十美里"
"高雄市","三民區德北里"
"高雄市","三民區立誠里"
"高雄市","三民區立業里"
"高雄市","三民區港東里"
"高雄市","三民區港新里"
"高雄市","三民區港西里"
"高雄市","三民區博愛里"
"高雄市","三民區博惠里"
"高雄市","三民區長明里"
"高雄市","三民區建東里"
"高雄市","三民區興德里"
"高雄市","三民區鳳南里"
"高雄市","三民區鳳北里"
"高雄市","三民區德西里"
"高雄市","三民區豐裕里"
"高雄市","三民區川東里"
"高雄市","三民區裕民里"
"高雄市","三民區力行里"
"高雄市","三民區千歲里"
"高雄市","三民區立德里"
"高雄市","三民區千北里"
"高雄市","三民區千秋里"
"高雄市","新興區浩然里"
"高雄市","新興區振成里"
"高雄市","新興區德生里"
"高雄市","新興區振華里"
"高雄市","新興區正氣里"
"高雄市","新興區德政里"
"高雄市","新興區仁聲里"
"高雄市","新興區德望里"
"高雄市","新興區華聲里"
"高雄市","新興區蕉園里"
"高雄市","新興區永寧里"
"高雄市","新興區玉衡里"
"高雄市","新興區順昌里"
"高雄市","新興區文昌里"
"高雄市","新興區光耀里"
"高雄市","新興區興昌里"
"高雄市","新興區開平里"
"高雄市","新興區成功里"
"高雄市","新興區新江里"
"高雄市","新興區黎明里"
"高雄市","新興區愛平里"
"高雄市","新興區南港里"
"高雄市","新興區中東里"
"高雄市","新興區明莊里"
"高雄市","新興區大明里"
"高雄市","新興區秋山里"
"高雄市","新興區長驛里"
"高雄市","新興區建興里"
"高雄市","新興區建華里"
"高雄市","新興區漢民里"
"高雄市","新興區榮治里"
"高雄市","新興區東坡里"
"高雄市","前金區三川里"
"高雄市","前金區草江里"
"高雄市","前金區長城里"
"高雄市","前金區北金里"
"高雄市","前金區東金里"
"高雄市","前金區新生里"
"高雄市","前金區後金里"
"高雄市","前金區長興里"
"高雄市","前金區青山里"
"高雄市","前金區民生里"
"高雄市","前金區復元里"
"高雄市","前金區林投里"
"高雄市","前金區國民里"
"高雄市","前金區社東里"
"高雄市","前金區社西里"
"高雄市","前金區博孝里"
"高雄市","前金區長生里"
"高雄市","前金區榮復里"
"高雄市","前金區文西里"
"高雄市","前金區文東里"
